Date,Value
9/2/1977,872.31
9/9/1977,857.04
9/16/1977,856.81
9/23/1977,839.14
9/30/1977,847.11
10/7/1977,840.35
10/14/1977,821.64
10/21/1977,808.3
10/28/1977,822.68
11/4/1977,809.94
11/11/1977,845.89
11/18/1977,835.76
11/25/1977,844.42
12/2/1977,823.98
12/9/1977,815.23
12/16/1977,815.32
12/23/1977,829.87
12/30/1977,831.17
1/6/1978,793.49
1/13/1978,775.73
1/20/1978,776.94
1/27/1978,764.12
2/3/1978,770.96
2/10/1978,775.99
2/17/1978,752.69
2/24/1978,756.24
3/3/1978,747.31
3/10/1978,758.58
3/17/1978,768.71
3/23/1978,756.5
3/31/1978,757.36
4/7/1978,769.58
4/14/1978,795.13
4/21/1978,812.8
4/28/1978,837.32
5/5/1978,829.09
5/12/1978,840.7
5/19/1978,846.85
5/26/1978,831.69
6/2/1978,847.54
6/9/1978,859.23
6/16/1978,836.97
6/23/1978,823.02
6/30/1978,818.95
7/7/1978,812.46
7/14/1978,839.83
7/21/1978,833.42
7/28/1978,856.29
8/4/1978,888.43
8/11/1978,890.85
8/18/1978,896.83
8/25/1978,895.53
9/1/1978,879.33
9/8/1978,907.74
9/15/1978,878.55
9/22/1978,862.44
9/29/1978,865.82
10/6/1978,880.02
10/13/1978,897.09
10/20/1978,838.01
10/27/1978,806.05
11/3/1978,823.11
11/10/1978,807.09
11/17/1978,797.73
11/24/1978,810.12
12/1/1978,811.5
12/8/1978,811.85
12/15/1978,805.35
12/22/1978,808.47
12/29/1978,805.01
1/5/1979,830.73
1/12/1979,836.28
1/19/1979,837.49
1/26/1979,859.75
2/2/1979,834.63
2/9/1979,822.23
2/16/1979,827.01
2/23/1979,823.28
3/2/1979,815.75
3/9/1979,842.86
3/16/1979,852.82
3/23/1979,859.75
3/30/1979,862.18
4/6/1979,875.69
4/12/1979,870.5
4/20/1979,856.98
4/27/1979,856.64
5/4/1979,847.54
5/11/1979,830.56
5/18/1979,841.91
5/25/1979,836.28
6/1/1979,821.21
6/8/1979,835.15
6/15/1979,843.3
6/22/1979,849.1
6/29/1979,841.98
7/6/1979,846.16
7/13/1979,833.53
7/20/1979,828.07
7/27/1979,839.76
8/3/1979,846.16
8/10/1979,867.06
8/17/1979,883.36
8/24/1979,880.2
8/31/1979,887.63
9/7/1979,874.15
9/14/1979,879.1
9/21/1979,893.94
9/28/1979,878.58
