STATES,Series Id
Alabama (AL),LASST010000000000006
Alaska (AK),LASST020000000000006
Arizona (AZ),LASST040000000000006
Arkansas (AR),LASST050000000000006
California (CA),LASST060000000000006
Colorado (CO),LASST080000000000006
Connecticut (CT),LASST090000000000006
Delaware (DE),LASST100000000000006
District of Columbia (DC),LASST110000000000006
Florida (FL),LASST120000000000006
Georgia (GA),LASST130000000000006
Hawaii (HI),LASST150000000000006
Idaho (ID),LASST160000000000006
Illinois (IL),LASST170000000000006
Indiana (IN),LASST180000000000006
Iowa (IA),LASST190000000000006
Kansas (KS),LASST200000000000006
Kentucky (KY),LASST210000000000006
Louisiana (LA),LASST220000000000006
Maine (ME),LASST230000000000006
Maryland (MD),LASST240000000000006
Massachusetts (MA),LASST250000000000006
Michigan (MI),LASST260000000000006
Minnesota (MN),LASST270000000000006
Mississippi (MS),LASST280000000000006
Missouri (MO),LASST290000000000006
Montana (MT),LASST300000000000006
Nebraska (NE),LASST310000000000006
Nevada (NV),LASST320000000000006
New Hampshire (NH),LASST330000000000006
New Jersey (NJ),LASST340000000000006
New Mexico (NM),LASST350000000000006
New York (NY),LASST360000000000006
North Carolina (NC),LASST370000000000006
North Dakota (ND),LASST380000000000006
Ohio (OH),LASST390000000000006
Oklahoma (OK),LASST400000000000006
Oregon (OR),LASST410000000000006
Pennsylvania (PA),LASST420000000000006
Puerto Rico (PR),LASST720000000000006
Rhode Island (RI),LASST440000000000006
South Carolina (SC),LASST450000000000006
South Dakota (SD),LASST460000000000006
Tennessee (TN),LASST470000000000006
Texas (TX),LASST480000000000006
Utah (UT),LASST490000000000006
Vermont (VT),LASST500000000000006
Virginia (VA),LASST510000000000006
Virgin Islands (VI),SMS78000000000000001
Washington (WA),LASST530000000000006
West Virginia (WV),LASST540000000000006
Wisconsin (WI),LASST550000000000006
Wyoming (WY),SMS56000005000000001
