,State,Series Id,lat,lng,Rate Change
0,Alabama,LASST010000000000003,32.3182314,-86.902298,3.6999999999999993
1,Alaska,LASST020000000000003,64.2008413,-149.4936733,0.5
2,Arizona,LASST040000000000003,34.0489281,-111.0937311,3.5
3,Arkansas,LASST050000000000003,35.20105,-91.8318334,1.7999999999999998
4,California,LASST060000000000003,36.778261,-119.4179324,3.1999999999999993
5,Colorado,LASST080000000000003,39.5500507,-105.7820674,1.8000000000000007
6,Connecticut,LASST090000000000003,41.6032207,-73.087749,1.6999999999999993
7,Delaware,LASST100000000000003,38.9108325,-75.52766989999999,3.0
8,DistrictofColumbia,LASST110000000000003,38.9071923,-77.0368707,2.0
9,Florida,LASST120000000000003,27.6648274,-81.5157535,3.500000000000001
10,Georgia,LASST130000000000003,32.1656221,-82.9000751,3.0999999999999996
11,Hawaii,LASST150000000000003,19.8967662,-155.5827818,2.8
12,Idaho,LASST160000000000003,44.0682019,-114.7420408,3.9000000000000004
13,Illinois,LASST170000000000003,40.6331249,-89.3985283,2.3999999999999995
14,Indiana,LASST180000000000003,40.2671941,-86.1349019,3.499999999999999
15,Iowa,LASST190000000000003,41.8780025,-93.097702,1.5999999999999996
16,Kansas,LASST200000000000003,39.011902,-98.4842465,1.2000000000000002
17,Kentucky,LASST210000000000003,37.8393332,-84.2700179,3.0
18,Louisiana,LASST220000000000003,30.9842977,-91.96233269999999,1.7000000000000002
19,Maine,LASST230000000000003,45.253783,-69.4454689,2.2
20,Maryland,LASST240000000000003,39.0457549,-76.64127119999999,2.4000000000000004
21,Massachusetts,LASST250000000000003,42.4072107,-71.3824374,2.2
22,Michigan,LASST260000000000003,44.3148443,-85.60236429999999,2.700000000000001
23,Minnesota,LASST270000000000003,46.729553,-94.6858998,2.0
24,Mississippi,LASST280000000000003,32.3546679,-89.3985283,1.7999999999999998
25,Missouri,LASST290000000000003,37.9642529,-91.8318334,2.4000000000000004
26,Montana,LASST300000000000003,46.8796822,-110.3625658,2.0
27,Nebraska,LASST310000000000003,41.4925374,-99.9018131,0.8999999999999999
28,Nevada,LASST320000000000003,38.8026097,-116.419389,3.8
29,NewHampshire,LASST330000000000003,43.1938516,-71.5723953,1.2999999999999998
30,NewJersey,LASST340000000000003,40.0583238,-74.4056612,2.3000000000000007
31,NewMexico,LASST350000000000003,34.5199402,-105.8700901,1.9
32,NewYork,LASST360000000000003,40.7127753,-74.0059728,1.9000000000000004
33,NorthCarolina,LASST370000000000003,35.7595731,-79.01929969999999,4.199999999999999
34,NorthDakota,LASST380000000000003,47.5514926,-101.0020119,0.7000000000000002
35,Ohio,LASST390000000000003,40.4172871,-82.90712300000001,2.5999999999999996
36,Oklahoma,LASST400000000000003,35.4675602,-97.5164276,1.2000000000000002
37,Oregon,LASST410000000000003,43.8041334,-120.5542012,4.3
38,Pennsylvania,LASST420000000000003,41.2033216,-77.1945247,1.8999999999999995
39,PuertoRico,LASST720000000000003,18.220833,-66.590149,2.5999999999999996
40,RhodeIsland,LASST440000000000003,41.5800945,-71.4774291,3.499999999999999
41,SouthCarolina,LASST450000000000003,33.836081,-81.1637245,3.5999999999999996
42,SouthDakota,LASST460000000000003,43.9695148,-99.9018131,1.4
43,Tennessee,LASST470000000000003,35.5174913,-86.5804473,3.0999999999999996
44,Texas,LASST480000000000003,31.9685988,-99.9018131,1.5
45,Utah,LASST490000000000003,39.3209801,-111.0937311,2.5
46,Vermont,LASST500000000000003,44.5588028,-72.57784149999999,1.4000000000000004
47,Virginia,LASST510000000000003,37.4315734,-78.6568942,1.6999999999999997
48,Washington,LASST530000000000003,47.7510741,-120.7401385,2.0
49,WestVirginia,LASST540000000000003,38.5976262,-80.4549026,0.7999999999999998
