year,period,periodName,value,footnotes,Monthly Change
2008,M01,January,5.0,[{}],0.0
2008,M02,February,4.9,[{}],-0.09999999999999964
2008,M03,March,5.1,[{}],0.1999999999999993
2008,M04,April,5.0,[{}],-0.09999999999999964
2008,M05,May,5.4,[{}],0.40000000000000036
2008,M06,June,5.6,[{}],0.1999999999999993
2008,M07,July,5.8,[{}],0.20000000000000018
2008,M08,August,6.1,[{}],0.2999999999999998
2008,M09,September,6.1,[{}],0.0
2008,M10,October,6.5,[{}],0.40000000000000036
2008,M11,November,6.8,[{}],0.2999999999999998
2008,M12,December,7.3,[{}],0.5
